epoch,loss,r2_2,val_loss,val_r2_2
0,0.7527719108710781,0.24279647,0.6461820577460812,0.31997472
1,0.5924581035346898,0.40381482,0.5279200275545576,0.47198826
2,0.44250097628506513,0.55708,0.3337762876547068,0.6731854
3,0.2871212305798865,0.708018,0.21422496786252201,0.77390945
4,0.1585695041348104,0.84027505,0.08849049788312996,0.915958
5,0.0661802774900306,0.9327423,0.0701882720661024,0.9297243
6,0.04696158767522413,0.95284647,0.030702621575368762,0.9405549
7,0.02636112376426825,0.97316825,0.022566727161255122,0.9707429
8,0.01856791399316527,0.98118603,0.014986139688615441,0.98480767
9,0.0209572569775217,0.9787857,0.02195764695336823,0.97865134
10,0.014488605309800744,0.98533493,0.020084664704388747,0.97854966
11,0.010376675798632516,0.9894757,0.013353964064030853,0.9860415
12,0.009516545907489215,0.9903739,0.011943610327929519,0.9848126
13,0.022595986760628767,0.9772805,0.009620589841639635,0.9891828
14,0.007762471395465355,0.9921792,0.009750677628157898,0.9851923
15,0.007228705013150182,0.99264246,0.006740405494954796,0.9933879
16,0.006730508046214133,0.99322593,0.006840976747705038,0.99341273
17,0.008207948202877423,0.9916092,0.010259955107599875,0.9879145
18,0.007301638429228208,0.9926374,0.006031971519355896,0.9942882
19,0.006656929719029309,0.9932097,0.01016380570234029,0.9899838
20,0.00888662806747107,0.99105436,0.010800464221610967,0.9892182
21,0.012914456413216912,0.9869547,0.02027644326741705,0.9765124
22,0.008455397509588123,0.99136466,0.010321146658029563,0.98983985
23,0.00932835391770483,0.99053913,0.006505150502110526,0.9927747
24,0.005787428000612874,0.994198,0.005728621439583883,0.99357903
25,0.009046436574517642,0.9907687,0.00485980503615663,0.99351925
26,0.0055333702195479095,0.9943534,0.00929733062164809,0.9883056
27,0.010369342850903612,0.989371,0.022167246490390473,0.9527536
28,0.020696172460133735,0.97934777,0.006127889706556411,0.99319375
29,0.007447970720234233,0.992482,0.005978974610287787,0.9931643
30,0.005123200990342275,0.99469227,0.007645271856794832,0.9925736
31,0.004256975812893406,0.9956833,0.005050857540287128,0.99518996
32,0.004870558585009286,0.9950936,0.0052222317460327685,0.9948277
33,0.003074489168262007,0.99689066,0.005904645210031344,0.9940622
34,0.003936695313299806,0.99599665,0.003694044656873823,0.9956958
35,0.003639987945906296,0.9963218,0.005697337529434303,0.9945195
36,0.004343845533881682,0.9955798,0.004457272669461854,0.9944575
37,0.0035767483738852347,0.9962916,0.019457802190644868,0.9812782
38,0.017167431821259158,0.98274803,0.004925497497990546,0.9953196
39,0.0033569311706486797,0.99663943,0.003824824879912636,0.99496335
40,0.003835735445910667,0.9961277,0.003569543616428605,0.99660915
41,0.002665402276065097,0.9973136,0.0038187300454019892,0.99157155
42,0.04869685906978324,0.95056945,0.032196286539778386,0.96382606
43,0.014239189518232193,0.98585397,0.00506037994702333,0.99468666
44,0.00417438000314641,0.9957777,0.0031994116948708936,0.99667716
45,0.004021088560362474,0.99591345,0.005895583113785126,0.99332154
46,0.00287736213778886,0.9970667,0.0022730345515504357,0.9977739
47,0.0024018000582097542,0.99758303,0.0023363758046987095,0.99749494
48,0.004993101042282962,0.99484795,0.014093901345392049,0.88334924
49,0.0048676621849583915,0.99506587,0.0024346903802433886,0.99765944
50,0.0024116164168193313,0.9975542,0.0024496534561099957,0.99764705
51,0.004083722569013137,0.99585736,0.0049536050235654905,0.9951451
52,0.003508185141087324,0.9964479,0.0072688053601476735,0.99189335
53,0.0047299578459542935,0.99523216,0.004934652663128924,0.9946692
54,0.009691185657165981,0.9902409,0.0028776836684907712,0.9969918
55,0.0020570761697708932,0.9978758,0.007353606579431715,0.90721637
56,0.007213384895249173,0.9927804,0.004873404636418677,0.9946749
