epoch,loss,r2_2,val_loss,val_r2_2
0,0.15270383920929392,0.84591764,0.0775913638151142,0.92216957
1,0.06916105383544591,0.93009216,0.05944287447626183,0.9403785
2,0.032413731286840386,0.9672906,0.016411394459620643,0.9835876
3,0.013146022446398356,0.9867327,0.01573151656111236,0.9841928
4,0.008242099211258912,0.9916934,0.007129772496958625,0.99286324
5,0.006375982069461964,0.9935502,0.004487300080837905,0.99551505
6,0.004723539622508662,0.9952246,0.0036083957198675912,0.9963902
7,0.003520263699317108,0.99644184,0.008375584240980923,0.99160063
8,0.0028516927035897397,0.99711454,0.003017202081608662,0.99697685
9,0.00248459451209222,0.9974901,0.0016804398632587387,0.998317
10,0.0026453263847540723,0.9973264,0.0019836241678353552,0.99801326
11,0.0016615045049137185,0.99832064,0.0021092087719539274,0.9978809
12,0.0016363387045485525,0.9983475,0.0010533696069913955,0.99894375
13,0.00190154425137274,0.9980782,0.001435806176776285,0.9985571
14,0.0013407074683774772,0.9986501,0.002302439730816441,0.9976844
15,0.00162943042053149,0.9983559,0.0007749774737877481,0.9992238
16,0.0011580000438371218,0.99883014,0.003554712672959758,0.9964306
17,0.0011600472826623681,0.99883133,0.0008935346620908139,0.9991001
18,0.001170062404807579,0.99881864,0.0006829375984292389,0.9993141
19,0.0013323927170048248,0.9986525,0.0015890188338596662,0.9984058
20,0.0013033575819471133,0.99868786,0.000549969986237403,0.9994488
21,0.0009322335541016578,0.99906087,0.0005777229029714284,0.9994225
22,0.0011886100748235468,0.9987965,0.0006093419187093895,0.9993887
23,0.0011303271703519337,0.9988441,0.012282638585495888,0.9877079
24,0.0010081240435274752,0.9989856,0.001845542189256775,0.99815124
25,0.0007545284663054251,0.99923736,0.000999741691542744,0.99899745
26,0.0008592158730551591,0.9991292,0.001065720981858704,0.998933
27,0.0012139715420109872,0.9987671,0.0006996628458780721,0.9992976
28,0.000732780412323246,0.99926335,0.0007869348188533872,0.99921227
29,0.0009052551573430145,0.99908525,0.0009432413707964973,0.99905163
30,0.0006399853489538664,0.99935395,0.0009411088360793903,0.99905413
