y,U_ML_0,U_ML_1,U_ML_2,U_RNG_0,U_RNG_1,U_RNG_2
0.112671,25.3427,-0.0295185,2.80544e-21,24.1024,-0.042453,9.56239e-21
0.112968,24.186,-0.018451,-6.84721e-22,23.0011,-0.032751,-2.01073e-21
0.113214,23.0388,-0.0103417,7.51052e-22,21.9251,-0.0251162,2.26016e-21
0.113417,21.8882,-0.00462651,3.43272e-21,20.8671,-0.0191374,1.10137e-20
0.113586,20.7225,-0.000822107,8.21036e-22,19.8193,-0.0144754,2.77942e-21
0.113726,19.5307,0.0014987,-1.46236e-21,18.7731,-0.0108539,-4.38568e-21
0.113842,18.2994,0.00270171,-1.00179e-21,17.7189,-0.00805104,-3.25914e-21
0.113938,17.014,0.0031,6.77492e-22,16.6454,-0.0058904,1.92221e-21
0.114018,15.6596,0.00295726,-2.19141e-21,15.5381,-0.0042325,-5.78937e-21
0.114084,14.2157,0.00248346,-1.24224e-21,14.3774,-0.0029679,-3.45594e-21
0.114139,12.6465,0.00182825,1.09712e-21,13.1335,-0.00201145,2.92817e-21
0.114184,10.9041,0.00110639,1.06844e-21,11.7572,-0.00129833,2.82341e-21
0.114222,8.94763,0.000447925,1.54272e-21,10.1533,-0.000781136,4.11315e-21
0.114253,6.76146,1.06849e-05,-3.38728e-22,8.08882,-0.000414039,-1.23827e-21
0.114279,4.21807,-7.94843e-05,5.07689e-23,4.92514,-0.000171379,2.2825e-22
0.1143,0,0,0,0,0,0
