y,nut_ML,nut_RNG
0,0,0
1.15903e-05,0,3.53491e-06
2.51959e-05,0,1.90917e-05
4.11938e-05,7.78372e-07,4.8958e-05
6.0036e-05,1.0434e-05,8.9513e-05
8.22644e-05,3.87203e-05,0.000140558
0.00010853,8.32211e-05,0.000203639
0.000139617,0.000141241,0.000281021
0.000176466,0.000217288,0.000375507
0.000220213,0.000314996,0.000490411
0.000272229,0.00043799,0.000629546
0.000334164,0.000592393,0.000797201
0.000408017,0.000786816,0.00099806
0.000496201,0.00103139,0.00123708
0.000601635,0.00132744,0.00151929
0.000727854,0.00166135,0.00184946
0.000879141,0.00203378,0.00223164
0.00106069,0.00247164,0.00266826
0.00127878,0.00298657,0.00315907
0.00154107,0.00355164,0.00369957
0.00185682,0.00414023,0.00427925
0.0022373,0.00474555,0.00487982
0.00269619,0.00536245,0.0054738
0.00325013,0.00593536,0.00602388
0.00391934,0.00640199,0.00645092
0.00447964,0.00671719,0.00670813
0.00498729,0.00683706,0.00683748
0.00545308,0.00682936,0.00688441
0.0058867,0.00679551,0.0068734
0.00629695,0.00675702,0.00681946
0.00669189,0.00669699,0.00673132
0.00707907,0.00659561,0.0066135
0.00746565,0.00646294,0.00646751
0.00785851,0.00631237,0.0062926
0.00826444,0.00612646,0.00609283
0.00863691,0.00590148,0.00588031
0.00899519,0.00566331,0.00566117
0.0093413,0.00542826,0.00543543
0.00967694,0.00519347,0.00520494
0.0100036,0.00495878,0.00497131
0.0103226,0.0047292,0.00473597
0.0106349,0.00450167,0.00450039
0.0109416,0.00426547,0.00426608
0.0112433,0.00401798,0.00403476
0.0115409,0.0037761,0.00380839
0.0118349,0.00355073,0.00358927
0.0121258,0.00334087,0.00338009
0.012414,0.0031486,0.00318393
0.0127,0.00297573,0.00300747
0.0129587,0.00281892,0.002855
0.0132347,0.00267714,0.00272235
0.0135296,0.00256724,0.0026101
0.0138449,0.00249268,0.00252654
0.0141825,0.00244894,0.00248004
0.0145445,0.00244834,0.00247747
0.0149331,0.00250116,0.00252244
0.0153511,0.00260505,0.00261381
0.0158015,0.00274146,0.00274538
0.0162878,0.00289276,0.00290681
0.016814,0.00305128,0.00308543
0.0173849,0.0032149,0.00326815
0.018006,0.00338937,0.00344626
0.0187638,0.00357014,0.00361136
0.0196001,0.00371794,0.00374797
0.0205255,0.00381211,0.00384216
0.0215519,0.00384796,0.00388498
0.0226935,0.00382007,0.00386771
0.023967,0.00373023,0.0037809
0.0253917,0.00357586,0.00361433
0.0269906,0.00333416,0.00335773
0.0287908,0.0029848,0.00300334
0.0308242,0.0025216,0.00255052
0.033129,0.00199071,0.00201311
0.0357502,0.00144878,0.00142811
0.0387416,0.000879435,0.000860964
0.042167,0.000393667,0.000398094
0.0461029,0.000119604,0.00011395
0.0506405,3.05617e-05,1.18492e-05
0.0558892,3.06915e-05,2.33218e-07
0.061146,2.34549e-05,7.09259e-07
0.0665609,5.64502e-06,3.85435e-06
0.0721458,2.51419e-05,2.17327e-05
0.0779136,0.000152984,0.00012113
0.0839163,0.000667149,0.000609049
0.0895906,0.00190526,0.00185598
0.0938129,0.00336605,0.00332953
0.0973169,0.00428794,0.00429422
0.100225,0.00463833,0.00470262
0.102638,0.00472,0.00475028
0.10464,0.00456831,0.00457289
0.106302,0.0042404,0.00426488
0.107682,0.00389037,0.00389032
0.108826,0.00351015,0.00349104
0.109776,0.00310408,0.00309317
0.110564,0.00270908,0.00271221
0.111219,0.00233716,0.0023568
0.111762,0.00200537,0.00203126
0.112212,0.00171756,0.00173727
0.112586,0.00146699,0.0014748
0.112897,0.00123398,0.00124279
0.113154,0.00101726,0.00103952
0.113368,0.000829032,0.000862839
0.113545,0.000666834,0.000710347
0.113693,0.000528016,0.000579553
0.113815,0.000412189,0.000467962
0.113916,0.000317805,0.000373163
0.114,0.000242638,0.000292883
0.11407,0.000182749,0.000225018
0.114128,0.000134653,0.00016765
0.114177,9.7174e-05,0.000119034
0.114216,6.9253e-05,7.75584e-05
0.11425,4.88462e-05,4.16684e-05
0.114277,2.84441e-05,1.27587e-05
0.1143,0,0
