y,U_ML_0,U_ML_1,U_ML_2,U_RNG_0,U_RNG_1,U_RNG_2
0,0,0,0,0,0,0
1.37955e-05,3.25694,0.00083852,2.18541e-21,2.91765,-0.000163909,-1.86148e-23
2.92331e-05,6.12881,0.00118796,-2.15673e-20,5.04144,-0.00057687,-5.738e-21
4.65113e-05,8.3551,0.000235805,-7.33043e-21,6.39242,-0.00125222,-1.71571e-21
6.58528e-05,9.95966,-0.00188483,-8.05252e-21,7.32745,-0.00220552,-2.35304e-21
8.75077e-05,11.1651,-0.00489104,7.43113e-21,8.05072,-0.00348903,3.82977e-21
0.000111757,12.1109,-0.00862206,1.05397e-20,8.6479,-0.00513295,1.86697e-21
0.000138915,12.8766,-0.0129968,-2.80315e-20,9.16166,-0.00717311,-9.23256e-21
0.000169336,13.5163,-0.01797,6.72388e-21,9.61634,-0.00965552,3.30393e-21
0.000203417,14.0684,-0.0235289,2.72386e-20,10.0273,-0.0126352,1.01856e-20
0.000241604,14.5585,-0.0296829,-1.19777e-20,10.4047,-0.0161757,-5.21254e-21
0.000284398,15.0034,-0.0364489,2.72123e-21,10.7562,-0.0203493,1.2512e-21
0.000332361,15.4145,-0.0438586,5.11574e-20,11.0871,-0.0252382,2.16457e-20
0.000386126,15.8001,-0.0519566,-1.31852e-20,11.4019,-0.0309354,-6.03223e-21
0.000446401,16.1661,-0.0607909,-3.48475e-20,11.7041,-0.0375458,-1.50631e-20
0.000513985,16.5174,-0.0704238,4.02946e-20,11.9967,-0.0451873,1.79933e-20
0.000589773,16.8578,-0.0809357,1.96447e-21,12.2824,-0.0539926,6.71419e-22
0.000674771,17.1906,-0.0924183,-2.0894e-20,12.5637,-0.0641103,-9.34695e-21
0.000770111,17.5186,-0.104979,-1.61965e-20,12.8428,-0.0757064,-7.51454e-21
0.000877061,17.8448,-0.118744,1.83562e-20,13.1221,-0.0889663,8.55123e-21
0.000997051,18.1725,-0.133872,-1.47797e-20,13.4039,-0.104096,-6.85845e-21
0.00113168,18.5054,-0.150562,-3.23948e-20,13.6907,-0.121325,-1.50444e-20
0.00128277,18.8468,-0.169044,4.84367e-22,13.9851,-0.140903,2.67253e-22
0.00145232,19.199,-0.189551,-7.0215e-20,14.2901,-0.163107,-3.22521e-20
0.00164263,19.5649,-0.212296,6.0722e-20,14.609,-0.188239,2.81439e-20
0.00185625,19.949,-0.237525,3.57831e-20,14.9457,-0.216622,1.66905e-20
0.00209606,20.3569,-0.265524,-3.03856e-20,15.3046,-0.248602,-1.39898e-20
0.0023653,20.7936,-0.296512,9.82417e-20,15.6909,-0.284539,4.50061e-20
0.0026676,21.2638,-0.330667,-8.49733e-22,16.1108,-0.324802,-5.00355e-22
0.00300706,21.7743,-0.368232,-6.82316e-20,16.5717,-0.369751,-3.1387e-20
0.00338828,22.3336,-0.409411,0,17.0826,-0.41972,0
0.00381642,22.951,-0.454271,1.69878e-19,17.6542,-0.474986,7.80557e-20
0.0042973,23.6379,-0.502765,-5.87407e-21,18.2994,-0.535719,-2.86231e-21
0.00483747,24.4088,-0.554682,-3.25466e-19,19.0337,-0.601857,-1.49587e-19
0.00544427,25.2445,-0.607279,-2.161e-19,19.8416,-0.670141,-9.8633e-20
0.00602098,26.0935,-0.656382,-1.25574e-21,20.6766,-0.735382,-2.53045e-22
0.00660124,26.9444,-0.700984,7.63782e-20,21.529,-0.796335,3.55404e-20
0.00718535,27.8106,-0.741544,2.66135e-19,22.412,-0.853595,1.20545e-19
0.00777365,28.692,-0.777767,-8.55799e-22,23.3258,-0.906803,-6.24431e-23
0.00836651,29.5853,-0.809369,-2.28954e-19,24.27,-0.955621,-1.03778e-19
0.00896431,30.4864,-0.836227,1.31057e-19,25.2431,-0.99974,5.87543e-20
0.00956749,31.3918,-0.858373,1.05005e-19,26.2426,-1.03889,4.8086e-20
0.0101765,32.2966,-0.875917,-2.46454e-20,27.2645,-1.07289,-1.26338e-20
0.0107919,33.1942,-0.889052,7.20258e-22,28.3036,-1.10159,4.98444e-22
0.0114142,34.076,-0.898082,2.62059e-20,29.3529,-1.125,1.35066e-20
0.012044,34.9311,-0.903409,-4.15588e-19,30.4032,-1.14328,-1.84368e-19
0.0126819,35.7474,-0.905573,1.77104e-20,31.4431,-1.15676,8.48437e-21
0.0133287,36.5138,-0.905264,1.13196e-18,32.4589,-1.16595,5.05299e-19
0.0139851,37.2106,-0.903372,6.94854e-19,33.4213,-1.17146,3.09258e-19
0.0145992,37.8228,-0.90111,-7.50362e-19,34.303,-1.17458,-3.34761e-19
0.0152409,38.3643,-0.899569,-7.46496e-19,35.1165,-1.17695,-3.31549e-19
0.0159119,38.8468,-0.899505,7.0185e-19,35.8742,-1.17982,2.9906e-19
0.016614,39.2683,-0.901453,6.93698e-19,36.5694,-1.18404,2.92689e-19
0.0173491,39.6325,-0.905577,-7.09353e-19,37.2021,-1.19011,-3.0152e-19
0.018119,39.9497,-0.911722,-2.15292e-18,37.7795,-1.1981,-8.93833e-19
0.0189258,40.2321,-0.91951,-7.62051e-19,38.313,-1.20767,-3.15544e-19
0.0197718,40.489,-0.928427,6.97144e-19,38.8147,-1.21826,2.90418e-19
0.0206593,40.7276,-0.937984,1.37567e-18,39.2952,-1.22923,5.44142e-19
0.0215907,40.953,-0.947748,2.75709e-18,39.7619,-1.23997,1.06971e-18
0.0225687,41.169,-0.957359,-1.20508e-18,40.2194,-1.24998,-4.51631e-19
0.023596,41.3776,-0.966771,-2.5897e-18,40.6693,-1.25932,-9.77928e-19
0.0246755,41.5817,-0.976244,2.16922e-20,41.1162,-1.26848,1.88833e-20
0.0259626,41.7906,-0.985594,5.42716e-19,41.5791,-1.27685,1.93358e-19
