y,U_ML_0,U_ML_1,U_ML_2,U_RNG_0,U_RNG_1,U_RNG_2
0,0,0,0,0,0,0
1.15903e-05,-1.65153,0.000529689,-1.02826e-22,-1.8322,-0.000210163,-1.04457e-22
2.51959e-05,-3.40371,0.00197201,-1.14233e-21,-3.23056,-0.00126136,-5.91618e-22
4.11938e-05,-5.26134,0.00431001,3.89223e-21,-4.10283,-0.00308951,1.09877e-21
6.0036e-05,-6.8853,0.00416656,2.33041e-21,-4.65771,-0.00565091,6.86744e-22
8.22644e-05,-7.90587,-0.000730869,7.88565e-22,-5.05329,-0.00911332,1.04807e-21
0.00010853,-8.42383,-0.00987455,4.30882e-21,-5.3557,-0.0136427,2.76152e-21
0.000139617,-8.71018,-0.0228499,-3.15467e-21,-5.59536,-0.0194316,-2.80597e-21
0.000176466,-8.88002,-0.0388694,-2.83226e-21,-5.78792,-0.0267271,-2.32802e-21
0.000220213,-8.97308,-0.0579474,4.33994e-21,-5.94194,-0.0358399,3.96258e-21
0.000272229,-9.00774,-0.0806221,4.30124e-22,-6.06203,-0.0471529,1.73075e-22
0.000334164,-8.99285,-0.107656,-2.68808e-21,-6.1503,-0.0611344,-2.52307e-21
0.000408017,-8.93217,-0.139981,1.05654e-20,-6.20705,-0.0783571,1.25345e-20
0.000496201,-8.82658,-0.178676,-1.86141e-20,-6.23105,-0.0995196,-2.37702e-20
0.000601635,-8.67435,-0.224941,-1.82549e-20,-6.21959,-0.125476,-2.13532e-20
0.000727854,-8.46965,-0.280386,1.79111e-20,-6.1684,-0.157268,2.33418e-20
0.000879141,-8.20204,-0.347194,6.98636e-21,-6.0713,-0.196172,8.39e-21
0.00106069,-7.85872,-0.427755,2.33364e-20,-5.91975,-0.243747,3.08244e-20
0.00127878,-7.42513,-0.524663,-4.51559e-20,-5.70216,-0.301908,-6.11686e-20
0.00154107,-6.88049,-0.641408,6.73372e-20,-5.40271,-0.37301,9.20501e-20
0.00185682,-6.19328,-0.78273,9.11414e-20,-4.99983,-0.459975,1.22815e-19
0.0022373,-5.32033,-0.954297,9.30566e-20,-4.46365,-0.566477,1.25155e-19
0.00269619,-4.20588,-1.16272,-1.90074e-19,-3.7526,-0.697192,-2.54643e-19
0.00325013,-2.774,-1.41573,-1.40384e-19,-2.80803,-0.857734,-1.95898e-19
0.00391934,-1.0723,-1.69755,6.30283e-20,-1.65612,-1.03797,7.50507e-20
0.00447964,0.656374,-1.96568,-5.70109e-20,-0.460494,-1.21107,-7.03884e-20
0.00498729,2.30294,-2.20613,2.11216e-19,0.697891,-1.36803,2.97356e-19
0.00545308,3.91535,-2.42943,-1.27976e-19,1.84211,-1.51451,-1.74267e-19
0.0058867,5.5052,-2.63933,-1.41591e-19,2.97898,-1.65287,-1.93626e-19
0.00629695,7.08068,-2.83875,3.90396e-21,4.11937,-1.78532,4.63304e-21
0.00669189,8.65616,-3.03075,-2.0444e-21,5.27739,-1.91393,-1.76181e-21
0.00707907,10.2538,-3.2184,2.84211e-22,6.47004,-2.04068,-7.19052e-22
0.00746565,11.899,-3.40439,1.8154e-19,7.71703,-2.16738,2.61456e-19
0.00785851,13.616,-3.59052,3.18648e-19,9.0407,-2.29562,4.43435e-19
0.00826444,15.3797,-3.77286,-5.57592e-20,10.4234,-2.42288,-8.34856e-20
0.00863691,17.1151,-3.94333,-4.34492e-19,11.8036,-2.54333,-6.13367e-19
0.00899519,18.8036,-4.10041,-2.43085e-19,13.165,-2.65587,-3.46395e-19
0.0093413,20.4615,-4.24581,2.43976e-19,14.5224,-2.76201,3.47788e-19
0.00967694,22.0838,-4.37913,1.82432e-19,15.8751,-2.86182,2.61437e-19
0.0100036,23.6653,-4.50006,-6.16169e-20,17.2218,-2.95533,-8.94706e-20
0.0103226,25.1996,-4.60826,-6.05283e-20,18.5602,-3.04251,-8.71057e-20
0.0106349,26.6797,-4.70352,6.17119e-20,19.8874,-3.12328,8.97612e-20
0.0109416,28.1002,-4.78596,4.88381e-20,21.1995,-3.19756,7.07029e-20
0.0112433,29.4571,-4.85612,-1.12055e-21,22.4915,-3.26525,-1.62949e-21
0.0115409,30.7449,-4.91464,-6.80844e-20,23.7577,-3.32624,-9.77363e-20
0.0118349,31.9559,-4.96204,9.60973e-21,24.9913,-3.38047,1.3588e-20
0.0121258,33.0825,-4.99881,2.2913e-20,26.1847,-3.4279,3.22937e-20
0.012414,34.1195,-5.02542,-9.42772e-21,27.3298,-3.4685,-1.33407e-20
