y,nut_ML,nut_RNG
0,0,0
1.15767e-05,7.28524e-06,3.4997e-06
2.48888e-05,2.04791e-05,1.98477e-05
4.02163e-05,4.13021e-05,5.24821e-05
5.78882e-05,6.79159e-05,9.72221e-05
7.82917e-05,0.000100961,0.000152523
0.000101883,0.000144493,0.000218965
0.000129201,0.000203433,0.000297905
0.000160882,0.000280326,0.000391148
0.000197681,0.000376475,0.000500866
0.000240493,0.000494279,0.000629581
0.000290379,0.000637343,0.000780162
0.000348605,0.000808723,0.000955814
0.000416677,0.00101002,0.00116004
0.000496392,0.00124301,0.00139658
0.000589899,0.00151083,0.00166929
0.000699764,0.0018207,0.00198192
0.000829066,0.00218241,0.00233781
0.000981493,0.00259655,0.00273944
0.00116147,0.00304849,0.00318782
0.00137434,0.00353665,0.0036817
0.00162648,0.0040825,0.00421654
0.00192562,0.00467674,0.00478342
0.00228106,0.00526775,0.00536788
0.00270401,0.00580323,0.00591115
0.00308362,0.00625589,0.00635033
0.00344943,0.00661401,0.00669147
0.0038084,0.00688125,0.00696136
0.00416715,0.00709067,0.00717316
0.00453208,0.00726693,0.00733488
0.00490948,0.00740689,0.00745045
0.00530563,0.00749954,0.00752044
0.00572698,0.0075252,0.00754238
0.00618017,0.00748614,0.00751103
0.00667222,0.00740373,0.00742293
0.0071306,0.00727951,0.00728622
0.00758188,0.00711819,0.00711028
0.00802708,0.0069142,0.00689868
0.00846704,0.00666038,0.00665596
0.00890252,0.00638196,0.00638635
0.00933414,0.00609725,0.00609404
0.00976245,0.00579027,0.00578339
0.0101879,0.00544947,0.00545919
0.0106109,0.00509114,0.00512681
0.0110319,0.00473553,0.00479246
0.011451,0.00440157,0.0044633
0.0118686,0.00410514,0.00414756
0.0122849,0.00384549,0.00385437
0.0127,0.00361786,0.0035981
0.0130748,0.00341843,0.00338865
0.0134728,0.00324469,0.00322306
0.0138957,0.00312021,0.0031038
0.0143452,0.00305924,0.00304005
0.0148233,0.00305404,0.00303511
0.0153318,0.00310331,0.00308441
0.0158732,0.00319023,0.00317602
0.0164499,0.00329541,0.00329344
0.0170647,0.00341337,0.0034193
0.0177206,0.00353517,0.00353823
0.018421,0.0036386,0.0036383
0.0191698,0.00371265,0.00371102
0.0199712,0.00376022,0.00375117
0.0209503,0.00375466,0.00375029
0.0220143,0.00368398,0.00369971
0.0231718,0.00356109,0.00359599
0.0244326,0.00339377,0.00343649
0.0258078,0.00318854,0.00321935
0.0273099,0.00294111,0.00294438
0.0289533,0.00262004,0.00261435
0.0307544,0.0022265,0.00223668
0.0327322,0.00178596,0.00182517
0.0349085,0.00135622,0.00140093
0.0373085,0.000978304,0.000991603
0.0399613,0.00063221,0.000628105
0.0429011,0.000339777,0.000338925
0.0461675,0.000152488,0.000142583
0.0498071,7.0637e-05,3.91104e-05
0.0538744,2.86348e-05,4.8619e-06
0.0584337,6.28884e-06,1.11509e-06
0.0631441,1.27405e-05,3.91229e-06
0.0680914,2.97561e-05,1.52441e-05
0.0732937,6.85299e-05,6.20552e-05
0.0787704,0.000280883,0.000252354
0.0845614,0.000991335,0.00093585
0.0903998,0.00235081,0.00233335
0.0945097,0.00371083,0.00371149
0.0979158,0.00449713,0.00450141
0.100739,0.00478482,0.00479637
0.103078,0.0047914,0.0047714
0.105017,0.00457555,0.00455197
0.106624,0.0042389,0.00422366
0.107956,0.00387079,0.00384273
0.10906,0.00346708,0.00344466
0.109974,0.00305788,0.00305105
0.110733,0.00266247,0.0026747
0.111361,0.00228911,0.00232296
0.111882,0.00196188,0.00199989
0.112314,0.00167981,0.00170737
0.112671,0.00142442,0.00144584
0.112968,0.00118566,0.00121464
0.113214,0.000969324,0.00101235
0.113417,0.000780669,0.00083698
0.113586,0.000620928,0.000686192
0.113726,0.000487981,0.000557449
0.113842,0.000378354,0.000448171
0.113938,0.000289719,0.000355839
0.114018,0.000219339,0.000278074
0.114084,0.000162915,0.000212683
0.114139,0.000117256,0.000157678
0.114184,8.1462e-05,0.000111269
0.114222,5.51478e-05,7.18253e-05
0.114253,3.66998e-05,3.78434e-05
0.114279,2.03136e-05,1.12451e-05
0.1143,0,0
