y,U_ML_0,U_ML_1,U_ML_2,U_RNG_0,U_RNG_1,U_RNG_2
0,0,0,0,0,0,0
1.16106e-05,-0.107061,0.000134327,0,-0.16635,0.000229368,0
2.56565e-05,-0.244221,0.000639427,0,-0.355214,0.00109907,0
4.26602e-05,-0.42867,0.00176341,6.93909e-21,-0.552514,0.00295117,4.08986e-21
6.32576e-05,-0.678468,0.00380343,-1.23185e-21,-0.730561,0.00592748,7.78202e-22
8.82233e-05,-1.01428,0.00782967,2.32932e-20,-0.881181,0.0101329,7.07664e-21
0.000118501,-1.40344,0.0154095,5.37319e-21,-1.01161,0.0158348,1.36497e-21
0.00015524,-1.75904,0.0270125,-6.39121e-20,-1.12991,0.0234198,-2.52938e-20
0.000199841,-2.04569,0.0429433,5.477e-20,-1.24157,0.0333604,3.2839e-20
0.000254011,-2.28123,0.0638785,-5.19791e-21,-1.35014,0.0462486,-1.38624e-20
0.000319833,-2.4812,0.0902222,-5.80142e-20,-1.458,0.0628274,-3.33418e-20
0.000399843,-2.65723,0.122887,1.1015e-19,-1.5667,0.0840188,8.75079e-20
0.000497136,-2.81731,0.163349,6.08354e-21,-1.67716,0.110949,8.54395e-22
0.000615486,-2.96494,0.213231,-5.05766e-20,-1.78961,0.144974,-4.37822e-20
0.000759498,-3.10054,0.274352,-1.23191e-20,-1.90345,0.187683,-1.29926e-20
0.000934787,-3.22204,0.348814,-1.35813e-20,-2.01701,0.240887,-1.32571e-20
0.00114821,-3.32389,0.43868,1.24544e-20,-2.12713,0.306555,1.29788e-20
0.00140812,-3.39622,0.545844,0,-2.2287,0.38667,0
0.00172472,-3.42458,0.671851,0,-2.31411,0.482986,0
0.00211046,-3.39107,0.816517,-4.19114e-20,-2.37277,0.596624,-4.63587e-20
0.00258055,-3.27625,0.977617,3.6801e-20,-2.39084,0.72748,4.14745e-20
0.00315353,-3.0614,1.15028,1.26195e-18,-2.35133,0.873367,1.4278e-18
0.00385204,-2.73116,1.32586,6.25855e-19,-2.23514,1.02885,7.14595e-19
0.00470373,-2.27326,1.49163,-1.11627e-18,-2.02374,1.18396,-1.23586e-18
0.00574233,-1.75881,1.61344,-6.99519e-19,-1.74138,1.30824,-7.63137e-19
0.00657366,-1.28784,1.67084,-1.09244e-18,-1.4457,1.37913,-1.19259e-18
0.00729408,-0.869611,1.6779,3.65467e-19,-1.15935,1.4048,3.74852e-19
0.0079201,-0.486574,1.64778,1.15336e-18,-0.877848,1.39594,1.23779e-18
0.00846603,-0.12232,1.58953,-2.19814e-19,-0.589617,1.35937,-2.6873e-19
0.00894425,0.251539,1.50753,-2.28335e-20,-0.272218,1.29796,-1.03577e-20
0.00936552,0.674456,1.40298,3.13414e-18,0.108784,1.21181,3.60998e-18
0.00973924,1.19564,1.27513,1.25429e-19,0.595193,1.10054,1.10216e-19
0.0100736,1.86229,1.1235,-4.28093e-18,1.22679,0.965618,-4.9246e-18
0.010376,2.70254,0.950801,2.10756e-18,2.02931,0.811338,2.50672e-18
0.0106528,3.71748,0.763364,5.99369e-19,2.99465,0.646263,6.91799e-19
0.0108964,4.8855,0.570069,-1.07111e-18,4.08088,0.480898,-1.31686e-18
0.0111152,6.18814,0.377936,8.40033e-19,5.24667,0.32204,9.95941e-19
0.0113126,7.61351,0.191043,-4.90401e-19,6.46248,0.172924,-5.60564e-19
0.0114918,9.14189,0.0126264,3.14525e-20,7.70275,0.0354879,4.42993e-20
0.0116552,10.7476,-0.15494,-7.08818e-19,8.9488,-0.0895296,-7.45642e-19
0.0118052,12.402,-0.309891,-4.96697e-20,10.1875,-0.202163,-5.53345e-20
0.0119436,14.0773,-0.451005,3.01963e-19,11.41,-0.302919,3.11729e-19
0.012072,15.7392,-0.577003,2.41853e-20,12.6092,-0.39247,2.58997e-20
0.0121919,17.3565,-0.687255,0,13.7752,-0.471304,0
0.0123044,18.9147,-0.782584,-9.97758e-20,14.9018,-0.540169,-1.03624e-19
0.0124107,20.4062,-0.864246,4.7841e-20,15.9893,-0.600154,5.06986e-20
0.0125116,21.8255,-0.933552,1.22215e-19,17.0386,-0.652198,1.2753e-19
0.0126078,23.1692,-0.991843,-4.93071e-20,18.0505,-0.697134,-5.22904e-20
0.0127,24.4221,-1.03999,-4.62702e-20,19.0148,-0.735324,-5.02648e-20
0.0127846,25.6061,-1.08025,5.73494e-22,19.9495,-0.768217,1.01583e-21
0.0128776,26.8063,-1.11615,1.20571e-19,20.9248,-0.798429,1.37409e-19
0.0129804,28.0663,-1.14877,-6.01587e-21,21.9823,-0.826662,-8.95392e-21
0.0130945,29.3723,-1.17732,5.18398e-21,23.119,-0.852021,8.52351e-21
0.0132214,30.7031,-1.20122,1.90038e-20,24.3247,-0.873657,2.1123e-20
0.0133634,32.0303,-1.22038,-5.25761e-19,25.579,-0.891027,-6.43555e-19
0.0135229,33.3206,-1.23543,-2.56191e-19,26.8499,-0.904263,-3.09732e-19
0.0137028,34.5422,-1.24788,6.45887e-19,28.097,-0.914531,8.02633e-19
0.0139066,35.673,-1.26003,2.39059e-19,29.2797,-0.924063,2.98726e-19
0.0141385,36.7044,-1.27427,2.04019e-19,30.3711,-0.935579,2.43472e-19
0.0144035,37.6397,-1.29209,-3.25045e-19,31.3671,-0.951303,-3.89426e-19
0.0147076,38.4894,-1.31372,-1.04154e-19,32.2852,-0.972373,-1.25993e-19
0.0150582,39.2754,-1.3386,4.02566e-19,33.1603,-0.999003,4.85243e-19
0.0154839,40.0235,-1.36582,-2.84787e-19,34.0281,-1.03043,-3.42232e-19
0.0159788,40.7422,-1.39404,-8.07144e-21,34.9024,-1.06489,-9.62012e-21
