y,nut_ML,nut_RNG
0,0,0
1.37955e-05,2.28266e-06,5.00549e-06
2.92331e-05,9.39314e-06,2.15009e-05
4.65113e-05,2.34163e-05,4.74442e-05
6.58528e-05,4.32193e-05,7.85956e-05
8.75077e-05,6.94268e-05,0.000114907
0.000111757,0.00010398,0.000157036
0.000138915,0.000148151,0.000205818
0.000169336,0.000202208,0.000262204
0.000203417,0.000265972,0.000327251
0.000241604,0.000340285,0.000402128
0.000284398,0.00042665,0.000488114
0.000332361,0.000526172,0.000586605
0.000386126,0.000640607,0.000699103
0.000446401,0.000771861,0.000827212
0.000513985,0.000921151,0.00097262
0.000589773,0.00109078,0.00113707
0.000674771,0.00128338,0.00132234
0.000770111,0.00150012,0.00153015
0.000877061,0.00173996,0.00176217
0.000997051,0.00199971,0.00201984
0.00113168,0.00227999,0.00230436
0.00128277,0.00258711,0.00261648
0.00145232,0.00292847,0.00295637
0.00164263,0.00330008,0.00332349
0.00185625,0.00368324,0.00371633
0.00209606,0.00407923,0.00413219
0.0023653,0.00450691,0.00456701
0.0026676,0.00495882,0.0050151
0.00300706,0.00541357,0.00546896
0.00338828,0.00586629,0.00591905
0.00381642,0.00631016,0.00635369
0.0042973,0.00671751,0.00675892
0.00483747,0.00706463,0.0071184
0.00544427,0.00734358,0.00740334
0.00602098,0.00755176,0.00759422
0.00660124,0.00767009,0.00769867
0.00718535,0.00768993,0.00772681
0.00777365,0.00764161,0.00768465
0.00836651,0.00754161,0.00757755
0.00896431,0.00737822,0.00741053
0.00956749,0.00714706,0.00718848
0.0101765,0.00686431,0.00691652
0.0107919,0.00654121,0.00660044
0.0114142,0.0061911,0.00624712
0.012044,0.0058329,0.00586513
0.0126819,0.00546808,0.00546533
0.0133287,0.00509241,0.00506143
0.0139851,0.00472098,0.00467614
0.0145992,0.00438262,0.00433214
0.0152409,0.00408267,0.0040364
0.0159119,0.00383692,0.00379673
0.016614,0.00368068,0.00362537
0.0173491,0.00358629,0.0035234
0.018119,0.00350504,0.00347834
0.0189258,0.00344232,0.00346723
0.0197718,0.00340609,0.00346378
0.0206593,0.00338294,0.00344538
0.0215907,0.00334898,0.00339686
0.0225687,0.00328162,0.00331065
0.023596,0.003181,0.00318501
0.0246755,0.00303733,0.00301998
0.0259626,0.00282395,0.00280842
0.0273361,0.0025453,0.00255285
0.0288025,0.00224045,0.00226695
0.030369,0.00193686,0.00196084
0.0320431,0.00164171,0.00164603
0.033833,0.00136815,0.00133524
0.0357475,0.0011021,0.00104139
0.0377646,0.000834266,0.000776605
0.0399122,0.000600286,0.000549131
0.0422027,0.000417889,0.000363245
0.0446494,0.000273963,0.00022062
0.0472662,0.000155729,0.000119688
0.0500679,7.43643e-05,5.57912e-05
0.05307,3.39754e-05,2.16339e-05
0.0562894,1.32429e-05,8.51129e-06
0.0597436,9.75548e-06,8.7649e-06
0.0634517,3.13823e-05,1.96887e-05
0.0674339,8.18527e-05,4.9242e-05
0.0717118,0.000184023,0.000126105
0.0763087,0.000396679,0.000323837
0.0812495,0.000874769,0.000804075
0.0865609,0.00187456,0.00180547
0.0922714,0.00330742,0.00325596
0.0960782,0.00435803,0.00436693
0.0992295,0.00482468,0.00485617
0.101838,0.00499291,0.004968
0.103998,0.00489337,0.00484204
0.105786,0.00459355,0.00457443
0.107266,0.00420784,0.00422709
0.108492,0.00378661,0.0038392
0.109506,0.00336054,0.00343619
0.110346,0.00294407,0.00303544
0.111042,0.00254745,0.00264929
0.111618,0.00219404,0.00228654
0.112095,0.00188847,0.00195306
0.11249,0.0016085,0.00165225
0.112817,0.00134374,0.00138539
0.113087,0.00110478,0.00115205
0.113312,0.000898515,0.00095055
0.113497,0.000724821,0.000778356
0.113651,0.000580372,0.000632463
0.113779,0.000460675,0.000509684
0.113884,0.000361672,0.000406871
0.113971,0.000280788,0.000321056
0.114044,0.000216572,0.000249538
0.114104,0.00016632,0.000189913
0.114154,0.000126112,0.000140079
0.114195,9.3178e-05,9.82052e-05
0.114229,6.63114e-05,6.26854e-05
0.114257,4.48352e-05,3.215e-05
0.114281,2.44589e-05,9.1383e-06
0.1143,0,0
