y,U_ML_0,U_ML_1,U_ML_2,U_KO_0,U_KO_1,U_KO_2
0,0,0,0,0,0,0
1.15767e-05,-0.249016,-0.000220222,-2.92619e-23,-0.157359,-0.000274304,2.2876e-23
2.48888e-05,-0.482107,-0.00107877,2.61385e-23,-0.290991,-0.00123893,-4.36936e-23
4.02163e-05,-0.692861,-0.00288244,-2.85211e-22,-0.389879,-0.00323757,2.00934e-22
5.78882e-05,-0.86,-0.00589343,2.37494e-23,-0.432178,-0.00679948,6.72628e-23
7.82917e-05,-0.953713,-0.0102762,3.63182e-22,-0.40776,-0.0123997,-1.99913e-22
0.000101883,-0.93349,-0.0165747,-1.53194e-21,-0.336959,-0.019936,2.31813e-22
0.000129201,-0.767118,-0.0268578,-6.31483e-23,-0.249252,-0.0291866,-1.17115e-22
0.000160882,-0.518682,-0.0406806,-2.44993e-21,-0.157639,-0.0403332,3.63771e-22
0.000197681,-0.278778,-0.0562716,-1.75185e-21,-0.0636542,-0.0537043,4.87022e-22
0.000240493,-0.0537143,-0.0750018,1.90961e-21,0.0342373,-0.0696246,-6.37019e-22
0.000290379,0.165462,-0.0977313,2.61192e-21,0.138102,-0.0884678,-8.72005e-22
0.000348605,0.374973,-0.124085,7.4322e-22,0.250126,-0.110699,3.98349e-22
0.000416677,0.57703,-0.154441,-1.95197e-21,0.372651,-0.136885,6.0483e-22
0.000496392,0.779916,-0.189859,-1.86118e-21,0.508361,-0.167711,1.05851e-21
0.000589899,0.991216,-0.231329,-2.85625e-22,0.660454,-0.203995,8.96027e-23
0.000699764,1.21675,-0.279804,2.06521e-21,0.832807,-0.246718,1.64598e-22
0.000829066,1.46255,-0.336548,1.9297e-23,1.0303,-0.297052,5.88093e-23
0.000981493,1.73616,-0.40311,4.75441e-21,1.25918,-0.356397,-3.5507e-21
0.00116147,2.04763,-0.4814,2.81895e-22,1.52763,-0.426415,-5.01388e-23
0.00137434,2.40979,-0.573769,-4.76869e-21,1.84652,-0.509079,2.17152e-21
0.00162648,2.83801,-0.682691,1.36658e-20,2.23054,-0.606726,-1.59329e-20
0.00192562,3.3527,-0.81083,7.54695e-21,2.69991,-0.72211,-9.37219e-21
0.00228106,3.98596,-0.961755,-6.76578e-21,3.28281,-0.85833,9.82646e-21
0.00270401,4.72886,-1.12745,4.4548e-21,3.96681,-1.00766,-2.41199e-21
0.00308362,5.5094,-1.2885,4.64004e-21,4.6843,-1.15279,-6.05409e-21
0.00344943,6.30184,-1.4397,-1.4658e-20,5.41221,-1.28919,2.85897e-20
