y,U_ML_0,U_ML_1,U_ML_2,U_KO_0,U_KO_1,U_KO_2
0,0,0,0,0,0,0
1.16106e-05,-0.0960721,0.000305591,0,-0.0214544,0.000136634,0
2.56565e-05,-0.168644,0.000978955,0,-0.055678,0.000637074,0
4.26602e-05,-0.250082,0.0024183,2.84881e-21,-0.110451,0.00178977,7.71361e-21
6.32576e-05,-0.347964,0.00498229,-3.22101e-22,-0.196114,0.004009,-1.5422e-21
8.82233e-05,-0.465717,0.00915256,8.67067e-21,-0.327226,0.00794006,2.94179e-20
0.000118501,-0.607584,0.0156563,-1.2792e-21,-0.521762,0.0146143,-5.53404e-21
0.00015524,-0.778056,0.0254959,-4.18484e-20,-0.792948,0.0255505,-1.36652e-19
0.000199841,-0.98078,0.0400114,7.42432e-20,-1.13026,0.0423443,1.81463e-19
0.000254011,-1.21636,0.0608617,-4.71332e-20,-1.49258,0.0658361,-2.0897e-20
0.000319833,-1.47968,0.0897475,-7.54588e-20,-1.83496,0.0961138,-1.85224e-19
0.000399843,-1.7608,0.128155,2.20984e-19,-2.13407,0.1333,2.83821e-19
0.000497136,-2.04883,0.177449,3.68163e-21,-2.385,0.177822,3.25912e-20
0.000615486,-2.33237,0.238852,-1.10904e-19,-2.58952,0.230237,-1.1575e-19
0.000759498,-2.59564,0.313004,-2.34834e-20,-2.75021,0.291175,-1.84211e-20
0.000934787,-2.81628,0.399628,-3.23778e-20,-2.86851,0.361336,-2.49888e-20
0.00114821,-2.97084,0.496796,2.28633e-20,-2.94407,0.441449,1.93347e-20
0.00140812,-3.0483,0.601771,0,-2.97466,0.532173,0
0.00172472,-3.05196,0.714075,0,-2.95601,0.633946,0
0.00211046,-2.98664,0.834416,-4.91345e-20,-2.8818,0.746741,-5.06079e-20
0.00258055,-2.85108,0.962066,4.01197e-20,-2.74373,0.869694,4.19274e-20
0.00315353,-2.6368,1.09472,1.43809e-18,-2.53187,1.0005,1.49522e-18
0.00385204,-2.33228,1.22722,7.29368e-19,-2.23583,1.13452,7.56861e-19
0.00470373,-1.93053,1.35116,-1.22151e-18,-1.848,1.26361,-1.25858e-18
0.00574233,-1.48706,1.44289,-7.50109e-19,-1.42034,1.36337,-7.5936e-19
0.00657366,-1.08002,1.48764,-1.11132e-18,-1.02868,1.41737,-1.11478e-18
0.00729408,-0.720573,1.49527,3.09586e-19,-0.68643,1.43495,2.91914e-19
0.0079201,-0.394893,1.47515,1.1159e-18,-0.382442,1.42666,1.10629e-18
0.00846603,-0.08975,1.43377,-2.55462e-19,-0.104746,1.3991,-2.47233e-19
0.00894425,0.213309,1.37489,-1.32705e-20,0.163477,1.35517,6.83947e-21
0.00936552,0.538182,1.29969,2.91904e-18,0.444548,1.29522,3.07216e-18
0.00973924,0.913864,1.20788,-6.99954e-20,0.770532,1.21731,-2.18059e-19
0.0100736,1.37645,1.09839,-4.31921e-18,1.19008,1.11707,-4.81502e-18
0.010376,1.97118,0.969219,2.69246e-18,1.76991,0.988778,3.16907e-18
0.0106528,2.73636,0.820577,4.48878e-19,2.56841,0.831449,5.33295e-19
0.0108964,3.67974,0.657624,-1.31567e-18,3.59495,0.653333,-1.6466e-18
0.0111152,4.79117,0.486422,1.11675e-18,4.81534,0.466495,1.33135e-18
0.0113126,6.05801,0.311614,-6.66401e-19,6.17779,0.281395,-7.22998e-19
0.0114918,7.46169,0.137726,4.49832e-20,7.62952,0.105594,6.39824e-20
