y,U_ML_0,U_ML_1,U_ML_2,U_KO_0,U_KO_1,U_KO_2
0.0116552,8.97915,-0.0308914,-9.57999e-19,9.13078,-0.0567392,-9.19377e-19
0.0118052,10.5845,-0.190452,-6.32941e-20,10.6552,-0.203807,-6.41146e-20
0.0119436,12.2519,-0.338084,4.08201e-19,12.1865,-0.335284,3.83111e-19
0.012072,13.9512,-0.471282,2.98195e-20,13.7113,-0.451324,2.4924e-20
0.0121919,15.6471,-0.587902,0,15.2135,-0.552075,0
0.0123044,17.3161,-0.687423,-1.43731e-19,16.6846,-0.638401,-1.29401e-19
0.0124107,18.9471,-0.77053,7.23468e-20,18.1248,-0.71164,6.6575e-20
0.0125116,20.5292,-0.838232,1.78481e-19,19.5339,-0.772898,1.6123e-19
0.0126078,22.0506,-0.89199,-7.36821e-20,20.911,-0.82315,-6.87552e-20
0.0127,23.4841,-0.933313,-7.04817e-20,22.2396,-0.862934,-6.76409e-20
0.0127846,24.8442,-0.965137,1.30695e-21,23.5391,-0.893942,2.3289e-21
0.0128776,26.2167,-0.991045,1.88686e-19,24.8989,-0.918431,1.9587e-19
0.0129804,27.6386,-1.01219,-9.51677e-21,26.3649,-0.936175,-1.71855e-20
0.0130945,29.0781,-1.02835,7.16379e-21,27.9042,-0.945844,1.52149e-20
0.0132214,30.495,-1.03976,3.11191e-20,29.4491,-0.947612,2.76398e-20
0.0133634,31.848,-1.04732,-8.01031e-19,30.8977,-0.944438,-9.2732e-19
0.0135229,33.0979,-1.05288,-3.90883e-19,32.1518,-0.94178,-4.60319e-19
0.0137028,34.2073,-1.0592,9.31571e-19,33.1744,-0.944646,1.01604e-18
0.0139066,35.1589,-1.069,3.52787e-19,34.0045,-0.954789,3.90323e-19
0.0141385,35.9798,-1.08365,2.5887e-19,34.7135,-0.971031,2.59939e-19
0.0144035,36.7212,-1.10305,-4.08242e-19,35.3614,-0.991308,-4.16133e-19
0.0147076,37.4215,-1.12613,-1.45689e-19,35.9852,-1.0141,-1.44886e-19
0.0150582,38.1045,-1.15165,5.15052e-19,36.6094,-1.03891,5.30119e-19
0.0154839,38.788,-1.1787,-3.58605e-19,37.2514,-1.06559,-3.70593e-19
0.0159788,39.4744,-1.20634,-8.90552e-21,37.9132,-1.09368,-9.9179e-21
0.0165559,40.1607,-1.23404,4.55615e-21,38.5939,-1.12315,4.27177e-21
0.0172308,40.8498,-1.26173,-5.25267e-19,39.3003,-1.15436,-5.42892e-19
0.0180222,41.5446,-1.2891,-4.85402e-19,40.041,-1.18764,-5.02138e-19
0.0189526,42.2478,-1.31604,1.10175e-18,40.8262,-1.2232,1.13438e-18
0.0200493,42.9602,-1.34253,4.67873e-19,41.6671,-1.26098,4.83405e-19
0.0213448,43.6794,-1.36754,-6.30573e-19,42.5732,-1.30001,-6.47295e-19
0.0228785,44.3978,-1.38862,0,43.5458,-1.33747,0
0.0246978,45.096,-1.40147,-1.85806e-19,44.5624,-1.36676,-1.88973e-19
0.0268599,45.7283,-1.39997,-7.73868e-21,45.5511,-1.37726,-9.06933e-21
0.0294337,46.2082,-1.37641,2.94354e-19,46.3662,-1.35459,2.97433e-19
0.0325023,46.4378,-1.33236,-1.047e-19,46.8186,-1.30043,-1.05377e-19
0.0361662,46.4206,-1.28431,-4.36202e-20,46.8785,-1.24661,-4.38946e-20
0.0405466,46.285,-1.23422,5.54675e-20,46.7526,-1.20174,5.57995e-20
0.0457897,46.1295,-1.1692,-1.13172e-19,46.6035,-1.14433,-1.1445e-19
0.0520723,45.9751,-1.08734,4.58959e-20,46.455,-1.07062,4.6393e-20
0.058149,45.839,-0.997934,3.31716e-20,46.324,-0.989966,3.36406e-20
0.0642652,45.7251,-0.904699,2.7011e-23,46.2141,-0.905225,2.64093e-23
0.070424,45.6289,-0.808743,-1.82051e-21,46.1209,-0.817872,-1.85066e-21
0.0766284,45.5485,-0.711079,3.43279e-23,46.0426,-0.728725,3.46655e-23
0.0829487,45.4825,-0.61491,-1.54516e-21,45.9773,-0.640832,-1.57844e-21
0.0883767,45.4245,-0.529671,-1.73647e-20,45.9159,-0.56265,-1.77542e-20
0.0927677,45.2994,-0.456535,3.58461e-21,45.7648,-0.494298,3.70768e-21
0.0964184,44.8378,-0.384771,2.17364e-20,45.1964,-0.423514,2.22724e-20
0.0994537,43.845,-0.314618,-3.05702e-22,43.9822,-0.351389,-3.25719e-22
0.101977,42.6013,-0.257743,-1.77042e-21,42.4427,-0.291823,-1.82947e-21
0.104075,41.4434,-0.21299,-1.02453e-20,40.9673,-0.244079,-1.06914e-20
0.10582,40.4303,-0.175842,2.50222e-20,39.6442,-0.204127,2.6344e-20
0.10727,39.5398,-0.145442,7.63736e-21,38.4583,-0.171185,7.88236e-21
0.108476,38.7368,-0.120011,-2.74621e-20,37.3716,-0.143263,-2.89767e-20
0.109478,37.9922,-0.0988769,-1.06219e-20,36.3504,-0.119744,-1.12754e-20
0.110312,37.2841,-0.0812443,1.99483e-21,35.3688,-0.0997888,2.15407e-21
0.111005,36.5949,-0.0665057,2.75951e-20,34.409,-0.0828843,2.93632e-20
0.111581,35.9126,-0.0541555,-2.77896e-21,33.4602,-0.0685618,-2.89176e-21
0.11206,35.2274,-0.0438567,-1.90343e-20,32.5148,-0.0564391,-2.01742e-20
0.112458,34.5261,-0.0353495,-1.21919e-20,31.5664,-0.0461944,-1.25873e-20
0.11279,33.7883,-0.0284117,3.94576e-21,30.6084,-0.0375597,3.54825e-21
0.113065,32.9857,-0.0228448,-5.39097e-21,29.6341,-0.0303058,-4.31873e-21
0.113294,32.0785,-0.0184747,1.44687e-20,28.6352,-0.0242352,1.13027e-20
0.113484,31.0094,-0.0150969,2.25081e-20,27.6015,-0.0191765,2.06466e-20
0.113643,29.711,-0.0124619,5.40876e-21,26.5193,-0.0149807,3.00997e-21
0.113774,28.1285,-0.0103164,-2.71715e-20,25.3698,-0.0115193,-1.67019e-20
0.113884,26.2055,-0.00842215,-1.75668e-20,24.1257,-0.00868101,-1.32943e-20
0.113975,23.8016,-0.00664325,1.01379e-20,22.7456,-0.00637061,7.17607e-21
0.11405,20.619,-0.00482855,2.54838e-20,21.1635,-0.00451189,1.07822e-20
0.114113,16.4883,-0.00303688,3.7944e-20,19.2604,-0.0030408,1.77373e-20
0.114165,12.0319,-0.00163176,-1.43e-20,16.8184,-0.00190368,-7.01128e-21
0.114209,8.10306,-0.000770441,-9.73025e-21,13.478,-0.00103106,-4.98746e-21
0.114245,4.88555,-0.000306652,-1.52339e-20,9.08568,-0.000417285,-1.37331e-20
0.114275,2.25045,-7.60734e-05,-1.17676e-20,4.35871,-9.44367e-05,-1.02459e-20
0.1143,0,0,0,0,0,0
