y,U_ML_0,U_ML_1,U_ML_2
0.0225687,40.8413,-1.2298,-6.42527e-19
0.023596,41.0411,-1.23318,-1.39618e-18
0.0246755,41.228,-1.2358,2.58132e-20
0.0259626,41.4109,-1.23703,2.64006e-19
0.0273361,41.5878,-1.23604,7.60505e-19
0.0288025,41.748,-1.23278,-1.70305e-19
0.030369,41.8899,-1.22738,-6.72371e-19
0.0320431,42.0136,-1.21971,3.92987e-19
0.033833,42.1201,-1.20967,-8.11932e-20
0.0357475,42.2113,-1.19723,-2.18082e-19
0.0377646,42.2895,-1.18233,2.9216e-19
0.0399122,42.3573,-1.16484,-1.93891e-19
0.0422027,42.4176,-1.14456,-1.16159e-19
0.0446494,42.4726,-1.12124,1.33301e-19
0.0472662,42.5241,-1.0946,-2.02714e-20
0.0500679,42.5733,-1.06434,1.10748e-19
0.05307,42.6207,-1.03016,7.83301e-20
0.0562894,42.6664,-0.991771,-6.05027e-20
0.0597436,42.7107,-0.94898,-1.43442e-20
0.0634517,42.7543,-0.901488,-1.33762e-20
0.0674339,42.797,-0.849045,7.62875e-21
0.0717118,42.8365,-0.791017,8.89859e-21
0.0763087,42.8676,-0.727433,4.14105e-22
0.0812495,42.8723,-0.655588,2.15505e-20
0.0865609,42.7935,-0.57526,2.10674e-20
0.0922714,42.4551,-0.488124,-5.51694e-20
0.0960782,41.7437,-0.406483,-2.94792e-20
0.0992295,40.6967,-0.337573,9.4927e-22
0.101838,39.5027,-0.282321,1.37439e-20
0.103998,38.3597,-0.239022,2.03967e-20
0.105786,37.3357,-0.204405,-1.71155e-20
0.107266,36.4161,-0.175805,-8.23818e-21
0.108492,35.5711,-0.151787,3.09081e-20
0.109506,34.7748,-0.131483,3.45148e-20
0.110346,34.0053,-0.114255,1.18561e-20
0.111042,33.248,-0.0996152,-1.76923e-21
0.111618,32.4944,-0.0871563,-7.76504e-21
0.112095,31.7329,-0.0764198,1.00437e-20
0.11249,30.943,-0.0669299,-1.63194e-20
0.112817,30.1025,-0.0583471,-4.75034e-21
0.113087,29.1917,-0.0504991,3.23868e-21
0.113312,28.1877,-0.0433027,-7.96978e-21
0.113497,27.0551,-0.0366932,1.52273e-21
0.113651,25.7433,-0.0305833,-2.67352e-22
0.113779,24.2038,-0.0249009,1.2227e-20
0.113884,22.4317,-0.019664,-5.57344e-21
0.113971,20.4762,-0.014973,-1.53795e-20
0.114044,18.3912,-0.0109308,-1.09661e-21
0.114104,16.1945,-0.00759191,1.1433e-21
0.114154,13.8751,-0.00497023,8.20444e-21
0.114195,11.4117,-0.00304417,3.76571e-22
0.114229,8.78543,-0.00173288,-4.19502e-21
0.114257,5.97856,-0.00086367,-1.77027e-21
0.114281,3.03493,-0.000282648,1.33824e-21
0.1143,0,0,0
