y,U_ML_0,U_ML_1,U_ML_2,U_KO_0,U_KO_1,U_KO_2
0,0,0,0,0,0,0
1.37955e-05,1.50284,0.000102367,1.16769e-22,1.41566,-0.000108108,1.12946e-22
2.92331e-05,3.13478,0.000535243,-2.22159e-20,2.95284,-0.000373287,-1.75135e-20
4.65113e-05,4.88212,0.00112554,6.20389e-23,4.64088,-0.000879926,5.34173e-22
6.58528e-05,6.53744,0.00147616,-1.50051e-20,6.38659,-0.00173621,-1.4865e-20
8.75077e-05,7.91549,0.00120661,1.47233e-20,7.98798,-0.0030458,1.80876e-20
0.000111757,9.02799,0.000114487,1.46119e-20,9.2793,-0.00488539,1.42704e-20
0.000138915,9.95683,-0.00170989,-4.76522e-20,10.2491,-0.00732433,-3.89617e-20
0.000169336,10.7545,-0.00423019,1.25763e-20,10.9733,-0.0104375,1.00401e-20
0.000203417,11.4584,-0.00746232,4.90143e-20,11.5291,-0.0142885,2.82111e-20
0.000241604,12.096,-0.011425,-2.24478e-20,11.972,-0.0189329,-1.00479e-20
0.000284398,12.686,-0.0161683,5.19685e-21,12.3389,-0.0244318,-3.03499e-22
0.000332361,13.2358,-0.0218163,9.44931e-20,12.6535,-0.0308576,4.28244e-20
0.000386126,13.7397,-0.0285364,-1.84031e-20,12.9321,-0.0382975,-9.1108e-21
0.000446401,14.1864,-0.0364837,-5.87716e-20,13.1855,-0.046854,-2.59577e-20
0.000513985,14.5722,-0.0457817,5.20201e-20,13.4218,-0.0566462,2.73925e-20
0.000589773,14.9053,-0.0565437,8.23151e-21,13.6469,-0.0678106,2.28097e-21
0.000674771,15.2005,-0.0689149,-2.58802e-20,13.8654,-0.0805014,-1.39684e-20
0.000770111,15.472,-0.0830685,-1.4188e-20,14.0816,-0.0948928,-9.75167e-21
0.000877061,15.7308,-0.0991831,1.47249e-20,14.2988,-0.111179,1.04036e-20
0.000997051,15.9851,-0.117463,-1.01624e-20,14.5205,-0.129576,-8.02013e-21
0.00113168,16.2409,-0.138149,-2.88699e-20,14.7499,-0.150324,-1.96077e-20
0.00128277,16.5034,-0.161514,1.4877e-21,14.9906,-0.173685,6.24687e-22
0.00145232,16.7776,-0.187857,-5.41394e-20,15.2465,-0.199947,-3.915e-20
0.00164263,17.0683,-0.217475,4.4798e-20,15.5218,-0.22942,3.39498e-20
0.00185625,17.381,-0.250667,2.74083e-20,15.8217,-0.262433,2.0089e-20
0.00209606,17.7224,-0.287792,-2.26186e-20,16.1522,-0.299334,-1.68753e-20
0.0023653,18.1002,-0.329224,7.02566e-20,16.5205,-0.340473,5.4278e-20
0.0026676,18.5233,-0.37527,-6.90401e-22,16.9355,-0.386196,-8.89684e-22
0.00300706,19.0032,-0.426211,-4.86761e-20,17.4079,-0.436818,-3.81288e-20
0.00338828,19.555,-0.482253,0,17.951,-0.492589,0
0.00381642,20.1962,-0.543317,1.25039e-19,18.5808,-0.553656,9.86146e-20
0.0042973,20.9472,-0.609147,-6.75262e-21,19.3166,-0.619988,-5.21399e-21
0.00483747,21.8318,-0.679347,-2.46077e-19,20.1813,-0.691194,-1.9356e-19
0.00544427,22.8337,-0.750139,-1.66141e-19,21.1606,-0.763509,-1.29854e-19
0.00602098,23.8904,-0.815756,7.23216e-22,22.1965,-0.831333,6.38823e-22
0.00660124,24.985,-0.874638,6.16247e-20,23.2708,-0.89281,4.87393e-20
0.00718535,26.135,-0.927071,2.25648e-19,24.4055,-0.947955,1.77644e-19
0.00777365,27.3383,-0.972353,-7.1132e-21,25.6173,-0.996302,-8.87839e-21
0.00836651,28.5807,-1.01011,-2.00079e-19,26.9018,-1.03719,-1.61081e-19
0.00896431,29.8381,-1.0406,1.20419e-19,28.2275,-1.07058,9.75754e-20
0.00956749,31.0835,-1.06468,9.74385e-20,29.5542,-1.09754,8.06369e-20
0.0101765,32.2886,-1.0835,-2.63638e-20,30.8422,-1.11938,-2.30225e-20
0.0107919,33.4215,-1.09824,4.29174e-22,32.0558,-1.13734,6.22498e-22
0.0114142,34.453,-1.11005,2.75635e-20,33.1696,-1.15253,2.42624e-20
0.012044,35.3687,-1.12,-3.57391e-19,34.1722,-1.16588,-2.79938e-19
0.0126819,36.1707,-1.12897,6.20495e-21,35.064,-1.17798,2.92649e-21
0.0133287,36.8653,-1.13754,9.26954e-19,35.8522,-1.18905,7.21114e-19
0.0139851,37.4517,-1.14579,5.55785e-19,36.5388,-1.19915,4.3084e-19
0.0145992,37.9345,-1.15395,-5.59196e-19,37.122,-1.20875,-4.35539e-19
0.0152409,38.3438,-1.16249,-5.51507e-19,37.6264,-1.21864,-4.2804e-19
0.0159119,38.7085,-1.1715,4.59288e-19,38.0834,-1.22905,3.45336e-19
0.016614,39.04,-1.18063,4.48786e-19,38.5065,-1.23956,3.3556e-19
0.0173491,39.3469,-1.18962,-4.48272e-19,38.9038,-1.2498,-3.34521e-19
0.018119,39.6342,-1.19823,-1.31457e-18,39.2803,-1.25947,-9.67798e-19
0.0189258,39.9049,-1.20627,-4.60823e-19,39.6388,-1.26838,-3.37811e-19
0.0197718,40.1601,-1.21357,4.2667e-19,39.9814,-1.27637,3.15913e-19
0.0206593,40.4008,-1.22,7.87256e-19,40.3093,-1.28333,5.71604e-19
0.0215907,40.6278,-1.22545,1.53917e-18,40.6226,-1.28911,1.10515e-18
0.0225687,40.8413,-1.2298,-6.42527e-19,40.9204,-1.29355,-4.53345e-19
0.023596,41.0411,-1.23318,-1.39618e-18,41.2012,-1.29678,-9.88028e-19
0.0246755,41.228,-1.2358,2.58132e-20,41.4646,-1.2991,2.50724e-20
0.0259626,41.4109,-1.23703,2.64006e-19,41.7221,-1.29968,1.80381e-19
0.0273361,41.5878,-1.23604,7.60505e-19,41.9703,-1.29746,4.97553e-19
0.0288025,41.748,-1.23278,-1.70305e-19,42.1933,-1.29249,-1.00875e-19
0.030369,41.8899,-1.22738,-6.72371e-19,42.3886,-1.285,-4.2155e-19
0.0320431,42.0136,-1.21971,3.92987e-19,42.5562,-1.27492,2.32788e-19
0.033833,42.1201,-1.20967,-8.11932e-20,42.6972,-1.2622,-2.44313e-20
0.0357475,42.2113,-1.19723,-2.18082e-19,42.8141,-1.24689,-1.26757e-19
0.0377646,42.2895,-1.18233,2.9216e-19,42.91,-1.22905,1.40768e-19
0.0399122,42.3573,-1.16484,-1.93891e-19,42.9889,-1.20867,-6.35797e-20
