y,U_ML_0,U_ML_1,U_ML_2
0.0903998,43.823,-0.750927,-1.92188e-20
0.0945097,43.4181,-0.629127,4.81183e-21
0.0979158,42.5784,-0.520959,1.08423e-20
0.100739,41.4116,-0.428392,-3.2255e-21
0.103078,40.2052,-0.354014,-1.62473e-21
0.105017,39.1184,-0.293026,-2.15401e-21
0.106624,38.1624,-0.242221,3.51809e-21
0.107956,37.3075,-0.199609,-1.40095e-21
0.10906,36.5214,-0.163602,1.17547e-20
0.109974,35.7762,-0.133191,2.13329e-20
0.110733,35.0516,-0.107442,-2.31352e-21
0.111361,34.335,-0.0855399,-1.39327e-20
0.111882,33.6186,-0.0668591,-9.88001e-21
0.112314,32.8917,-0.0509655,-2.47695e-21
0.112671,32.1329,-0.0374282,1.07476e-20
0.112968,31.3179,-0.025914,-2.85753e-21
0.113214,30.4214,-0.0162207,3.83803e-21
0.113417,29.4061,-0.00820193,1.6196e-20
0.113586,28.2164,-0.00175364,4.11957e-21
0.113726,26.7942,0.00329658,-9.02297e-21
0.113842,25.1118,0.00729498,-6.85288e-21
0.113938,23.1739,0.0106702,5.3485e-21
0.114018,20.9717,0.0135916,-1.93004e-20
0.114084,18.4644,0.0154755,-9.19627e-21
0.114139,15.5599,0.014645,9.98493e-21
0.114184,12.115,0.0109536,1.35135e-20
0.114222,8.38759,0.0060448,1.88446e-20
0.114253,5.03646,0.0021867,-2.9641e-21
0.114279,2.31387,0.000486722,-1.1686e-21
0.1143,0,0,0
