y,U_ML_0,U_ML_1,U_ML_2
0,0,0,0
1.15767e-05,-0.249016,-0.000220222,-2.92619e-23
2.48888e-05,-0.482107,-0.00107877,2.61385e-23
4.02163e-05,-0.692861,-0.00288244,-2.85211e-22
5.78882e-05,-0.86,-0.00589343,2.37494e-23
7.82917e-05,-0.953713,-0.0102762,3.63182e-22
0.000101883,-0.93349,-0.0165747,-1.53194e-21
0.000129201,-0.767118,-0.0268578,-6.31483e-23
0.000160882,-0.518682,-0.0406806,-2.44993e-21
0.000197681,-0.278778,-0.0562716,-1.75185e-21
0.000240493,-0.0537143,-0.0750018,1.90961e-21
0.000290379,0.165462,-0.0977313,2.61192e-21
0.000348605,0.374973,-0.124085,7.4322e-22
0.000416677,0.57703,-0.154441,-1.95197e-21
0.000496392,0.779916,-0.189859,-1.86118e-21
0.000589899,0.991216,-0.231329,-2.85625e-22
0.000699764,1.21675,-0.279804,2.06521e-21
0.000829066,1.46255,-0.336548,1.9297e-23
0.000981493,1.73616,-0.40311,4.75441e-21
0.00116147,2.04763,-0.4814,2.81895e-22
0.00137434,2.40979,-0.573769,-4.76869e-21
0.00162648,2.83801,-0.682691,1.36658e-20
0.00192562,3.3527,-0.81083,7.54695e-21
0.00228106,3.98596,-0.961755,-6.76578e-21
0.00270401,4.72886,-1.12745,4.4548e-21
0.00308362,5.5094,-1.2885,4.64004e-21
0.00344943,6.30184,-1.4397,-1.4658e-20
0.0038084,7.1301,-1.58645,3.55413e-21
0.00416715,8.00838,-1.73126,-6.04617e-21
0.00453208,8.95396,-1.87629,-1.23949e-20
0.00490948,9.98967,-2.02338,7.70771e-21
0.00530563,11.1447,-2.1738,9.48008e-22
0.00572698,12.4547,-2.32838,1.0423e-20
0.00618017,13.9572,-2.48748,-4.0531e-21
0.00667222,15.6224,-2.64521,-7.91231e-21
0.0071306,17.3399,-2.79164,4.55206e-21
0.00758188,19.0583,-2.925,-1.0661e-21
0.00802708,20.774,-3.04723,-1.48986e-21
0.00846704,22.4629,-3.15811,2.31229e-21
0.00890252,24.106,-3.25774,3.29717e-21
0.00933414,25.686,-3.34654,-2.63788e-23
0.00976245,27.185,-3.42509,-3.22063e-21
0.0101879,28.5889,-3.49378,0
0.0106109,29.8912,-3.55284,0
0.0110319,31.0922,-3.60237,1.05678e-21
0.011451,32.1949,-3.64241,-9.56826e-22
0.0118686,33.2035,-3.67314,-1.05518e-21
0.0122849,34.1187,-3.69485,9.586e-22
0.0127,34.9273,-3.70806,-3.85966e-22
0.0130748,35.6191,-3.71428,1.02086e-21
0.0134728,36.2238,-3.71529,5.99887e-21
0.0138957,36.7709,-3.71189,3.54742e-21
0.0143452,37.2662,-3.70448,-1.28344e-20
0.0148233,37.7177,-3.69346,-4.58471e-21
0.0153318,38.1346,-3.67927,3.02728e-22
0.0158732,38.5265,-3.66215,-3.00839e-22
0.0164499,38.9018,-3.64216,6.60683e-21
0.0170647,39.2669,-3.61913,-8.01404e-21
0.0177206,39.6254,-3.59288,-3.63687e-20
0.018421,39.979,-3.56324,-2.18308e-20
0.0191698,40.3277,-3.52985,2.47965e-20
0.0199712,40.6738,-3.49184,2.35005e-20
0.0209503,41.0323,-3.44641,3.12762e-20
0.0220143,41.3993,-3.3928,2.91319e-20
0.0231718,41.7548,-3.33216,-2.36421e-20
0.0244326,42.0917,-3.26405,-2.4209e-20
0.0258078,42.4045,-3.18811,4.51687e-21
0.0273099,42.6889,-3.10387,4.56557e-23
0.0289533,42.9403,-3.01111,4.41801e-20
0.0307544,43.155,-2.90982,-4.26121e-20
0.0327322,43.3317,-2.80016,-1.72983e-21
0.0349085,43.4718,-2.68252,7.66056e-20
0.0373085,43.5795,-2.55749,-3.72263e-20
0.0399613,43.6614,-2.42575,-2.81536e-20
0.0429011,43.7252,-2.28767,-1.54331e-21
0.0461675,43.7779,-2.14349,2.45281e-20
0.0498071,43.8239,-1.99234,-2.8139e-20
0.0538744,43.8632,-1.83449,-2.57858e-20
0.0584337,43.8943,-1.67193,1.4089e-20
0.0631441,43.9194,-1.51205,-7.27465e-22
0.0680914,43.9411,-1.35589,1.37543e-20
0.0732937,43.9585,-1.20131,6.54433e-21
0.0787704,43.9691,-1.04795,3.48512e-21
0.0845614,43.9516,-0.894641,-4.58629e-21
