y,U_ML_0,U_ML_1,U_ML_2,U_KO_0,U_KO_1,U_KO_2
0.108826,37.482,-0.164864,1.15145e-21,35.9425,-0.187595,1.30621e-21
0.109776,36.7397,-0.135285,-1.36877e-21,34.9083,-0.15583,-1.54553e-21
0.110564,36.0258,-0.110287,1.49217e-21,33.9076,-0.128914,1.7106e-21
0.111219,35.3272,-0.0890922,-1.83469e-21,32.9257,-0.106151,-2.04872e-21
0.111762,34.6344,-0.0710649,-1.14377e-20,31.9538,-0.0869405,-1.28208e-20
0.112212,33.9387,-0.0557358,0,30.9863,-0.0707779,0
0.112586,33.2228,-0.042642,0,30.0179,-0.0572302,0
0.112897,32.4605,-0.0313428,1.71278e-20,29.0434,-0.045929,1.78331e-20
0.113154,31.6224,-0.0215492,-3.53813e-21,28.0567,-0.0365531,-2.60182e-21
0.113368,30.6671,-0.0130953,-1.22607e-20,27.0498,-0.0288204,-1.26778e-20
0.113545,29.5321,-0.0059192,8.40462e-21,26.0126,-0.0224824,7.75487e-21
0.113693,28.1433,5.61236e-05,-1.31278e-20,24.9311,-0.0173208,-1.01307e-20
0.113815,26.45,0.00491509,-1.31353e-20,23.7857,-0.0131449,-1.01307e-20
0.113916,24.4414,0.00865276,1.52775e-20,22.548,-0.00978983,1.02483e-20
0.114,22.1017,0.011344,-3.95003e-21,21.1749,-0.00711486,-2.04161e-21
0.11407,19.3912,0.0127953,-1.52118e-20,19.5977,-0.00500537,-9.75672e-21
0.114128,16.2544,0.011888,-1.77133e-20,17.6943,-0.00336523,-1.08305e-20
0.114177,12.6007,0.00874468,1.00415e-20,15.2505,-0.00209465,7.41022e-21
0.114216,8.70823,0.00475589,1.62902e-20,11.9653,-0.00111749,8.17635e-21
0.11425,5.22749,0.00167622,-1.54237e-20,7.87417,-0.000439491,-1.25538e-20
0.114277,2.40073,0.000364261,2.27291e-21,3.72137,-9.23591e-05,2.41711e-21
0.1143,0,0,0,0,0,0
