y,nut_ML,nut_KO
0,0,0
1.37955e-05,0,1.94771e-09
2.92331e-05,0,5.2952e-08
4.65113e-05,1.38542e-06,5.24075e-07
6.58528e-05,6.67343e-06,2.7019e-06
8.75077e-05,1.54609e-05,8.69538e-06
0.000111757,2.63879e-05,2.03941e-05
0.000138915,3.97887e-05,3.92278e-05
0.000169336,5.57479e-05,6.65967e-05
0.000203417,7.41822e-05,0.000103869
0.000241604,9.50559e-05,0.000152315
0.000284398,0.000119124,0.000213172
0.000332361,0.000150152,0.000287711
0.000386126,0.000196181,0.000377277
0.000446401,0.000267197,0.000483287
0.000513985,0.000370362,0.000607206
0.000589773,0.000506381,0.0007505
0.000674771,0.000670512,0.000914566
0.000770111,0.000858498,0.00110064
0.000877061,0.00106923,0.00130968
0.000997051,0.00130325,0.00154223
0.00113168,0.00156231,0.00179824
0.00128277,0.00184693,0.00207685
0.00145232,0.00215687,0.00237622
0.00164263,0.00249124,0.00269332
0.00185625,0.00284257,0.00302369
0.00209606,0.00320132,0.00336136
0.0023653,0.00356412,0.00369876
0.0026676,0.00392122,0.00402684
0.00300706,0.00424634,0.00433529
0.00338828,0.00452443,0.00461297
0.00381642,0.00475402,0.00484842
0.0042973,0.00491909,0.00503049
0.00483747,0.00501454,0.00514886
0.00544427,0.00505593,0.00519357
0.00602098,0.00503276,0.00516821
0.00660124,0.00491287,0.00508007
0.00718535,0.00468834,0.00482222
0.00777365,0.00439964,0.00441223
0.00836651,0.00409545,0.00401195
0.00896431,0.00378857,0.00366107
0.00956749,0.00347964,0.00335696
0.0101765,0.00318646,0.00309971
0.0107919,0.0029426,0.00289223
0.0114142,0.0027529,0.00272263
0.012044,0.00257764,0.00257313
0.0126819,0.00239208,0.00243431
0.0133287,0.00224021,0.00229632
0.0139851,0.00215608,0.00217858
0.0145992,0.00210886,0.00212149
0.0152409,0.00206887,0.00210112
0.0159119,0.00202776,0.00207487
0.016614,0.00198046,0.00204178
0.0173491,0.00192262,0.00200736
0.018119,0.00186068,0.00197187
0.0189258,0.00180441,0.00192255
0.0197718,0.0017487,0.00184541
0.0206593,0.00168016,0.00174577
0.0215907,0.00159489,0.00163393
0.0225687,0.00149661,0.00151327
0.023596,0.00138856,0.00138583
0.0246755,0.0012679,0.00125284
0.0259626,0.00113015,0.00110785
0.0273361,0.00097467,0.000951482
0.0288025,0.000807185,0.000793112
0.030369,0.000635935,0.00063737
0.0320431,0.000472217,0.00048916
0.033833,0.000334072,0.000354173
0.0357475,0.000222964,0.000238335
0.0377646,0.000128551,0.000146619
0.0399122,6.26797e-05,8.0781e-05
0.0422027,3.08842e-05,3.87079e-05
0.0446494,1.55645e-05,1.55014e-05
0.0472662,5.14517e-06,4.87923e-06
0.0500679,1.65217e-07,1.10094e-06
0.05307,0,1.98885e-07
0.0562894,0,1.73206e-07
0.0597436,0,4.58924e-07
0.0634517,0,1.3404e-06
0.0674339,0,4.14972e-06
0.0717118,6.54902e-06,1.34199e-05
0.0763087,3.57952e-05,4.40751e-05
0.0812495,0.000116401,0.000138264
0.0865609,0.000346942,0.000373957
0.0922714,0.000817167,0.000825344
0.0960782,0.00137409,0.00139022
0.0992295,0.00184699,0.00185909
0.101838,0.0022094,0.00219919
0.103998,0.00246182,0.00245962
0.105786,0.00254396,0.00257461
0.107266,0.00247456,0.00253537
0.108492,0.0023158,0.00238371
0.109506,0.00209063,0.0021703
0.110346,0.00182959,0.00192956
0.111042,0.00157075,0.0016784
0.111618,0.00133034,0.00143412
0.112095,0.0010995,0.00121042
0.11249,0.000881321,0.00100975
0.112817,0.000691719,0.000832422
0.113087,0.000534627,0.000677679
0.113312,0.000404863,0.000544209
0.113497,0.000297336,0.000430389
0.113651,0.000210846,0.00033443
0.113779,0.000147474,0.000254468
0.113884,0.000106084,0.000188644
0.113971,7.95421e-05,0.000135172
0.114044,6.04425e-05,9.24025e-05
0.114104,4.50805e-05,5.8702e-05
0.114154,3.23304e-05,3.30626e-05
0.114195,2.18703e-05,1.49525e-05
0.114229,1.35237e-05,4.37682e-06
0.114257,6.92612e-06,5.52572e-07
0.114281,2.39016e-06,1.92938e-08
0.1143,0,0
